x,y,z,Bx,By,Bz
-1.5,-0.4,-1.5,-21.061999999999998,0.867,-23.601999999999997
-1.5,-0.4,-1.4,-19.577,0.855,-23.750999999999998
-1.5,-0.4,-1.3,-17.98,0.828,-23.888
-1.5,-0.4,-1.2,-16.462,0.903,-23.885
-1.5,-0.4,-1.1,-14.87,0.875,-23.924
-1.5,-0.4,-1.0,-13.29,0.85,-23.978
-1.5,-0.4,-0.9,-11.717,0.861,-24.015
-1.5,-0.4,-0.8,-10.191,0.787,-24.018
-1.5,-0.4,-0.7,-8.571,0.809,-24.11
-1.5,-0.4,-0.6,-7.017,0.7759999999999999,-24.094
-1.5,-0.4,-0.5,-5.385,0.8029999999999999,-24.11
-1.5,-0.4,-0.4,-3.802,0.784,-24.131
-1.5,-0.4,-0.3,-2.239,0.777,-24.128
-1.5,-0.4,-0.2,-0.62,0.722,-24.144000000000002
-1.5,-0.4,-0.1,0.973,0.75,-24.19
-1.5,-0.4,0.0,2.4859999999999998,0.745,-24.108
-1.5,-0.4,0.1,4.127,0.6829999999999999,-24.183000000000003
-1.5,-0.4,0.2,5.711,0.718,-24.168000000000003
-1.5,-0.4,0.3,7.303999999999999,0.722,-24.184
-1.5,-0.4,0.4,8.86,0.708,-24.195
-1.5,-0.4,0.5,10.454,0.688,-24.180999999999997
-1.5,-0.4,0.6,12.037,0.754,-24.218000000000004
-1.5,-0.4,0.7,13.638,0.701,-24.134
-1.5,-0.4,0.8,15.22,0.701,-24.195
-1.5,-0.4,0.9,16.79,0.664,-24.17
-1.5,-0.4,1.0,18.323,0.653,-24.107
-1.5,-0.4,1.1,19.926,0.684,-24.107
-1.5,-0.4,1.2,21.487,0.6579999999999999,-24.128
-1.5,-0.4,1.3,23.002,0.588,-24.057
-1.5,-0.4,1.4,24.541,0.659,-24.05
-1.5,-0.4,1.5,26.151999999999997,0.563,-24.055999999999997
-1.5,-0.3,-1.5,-21.06,0.875,-23.645
-1.5,-0.3,-1.4,-19.557000000000002,0.9159999999999999,-23.78
-1.5,-0.3,-1.3,-17.939,0.8690000000000001,-23.807
-1.5,-0.3,-1.2,-16.4,0.86,-23.86
-1.5,-0.3,-1.1,-14.854000000000001,0.797,-23.929000000000002
-1.5,-0.3,-1.0,-13.299000000000001,0.877,-23.941
-1.5,-0.3,-0.9,-11.742,0.8370000000000001,-23.997
-1.5,-0.3,-0.8,-10.082,0.865,-24.064
-1.5,-0.3,-0.7,-8.548,0.8009999999999999,-24.093000000000004
-1.5,-0.3,-0.6,-6.95,0.823,-24.086
-1.5,-0.3,-0.5,-5.374,0.774,-24.108
-1.5,-0.3,-0.4,-3.807,0.779,-24.09
-1.5,-0.3,-0.3,-2.238,0.797,-24.166999999999998
-1.5,-0.3,-0.2,-0.593,0.726,-24.149
-1.5,-0.3,-0.1,0.9490000000000001,0.792,-24.105
-1.5,-0.3,0.0,2.5839999999999996,0.737,-24.133000000000003
-1.5,-0.3,0.1,4.16,0.675,-24.151
-1.5,-0.3,0.2,5.697,0.7490000000000001,-24.138
-1.5,-0.3,0.3,7.36,0.687,-24.191
-1.5,-0.3,0.4,8.9,0.7040000000000001,-24.208000000000002
-1.5,-0.3,0.5,10.504000000000001,0.6759999999999999,-24.191999999999997
-1.5,-0.3,0.6,12.072000000000001,0.675,-24.182
-1.5,-0.3,0.7,13.681,0.711,-24.178
-1.5,-0.3,0.8,15.245,0.636,-24.147
-1.5,-0.3,0.9,16.823,0.7070000000000001,-24.105
-1.5,-0.3,1.0,18.316,0.628,-24.149
-1.5,-0.3,1.1,19.948,0.723,-24.128
-1.5,-0.3,1.2,21.414,0.625,-24.090999999999998
-1.5,-0.3,1.3,22.976,0.6459999999999999,-24.076
-1.5,-0.3,1.4,24.573,0.617,-24.078000000000003
-1.5,-0.3,1.5,26.138,0.628,-23.968000000000004
-1.5,-0.2,-1.5,-21.055,0.883,-23.558000000000003
-1.5,-0.2,-1.4,-19.534000000000002,0.9259999999999999,-23.752
-1.5,-0.2,-1.3,-17.971,0.89,-23.791999999999998
-1.5,-0.2,-1.2,-16.404,0.856,-23.873
-1.5,-0.2,-1.1,-14.824000000000002,0.835,-23.893
-1.5,-0.2,-1.0,-13.28,0.8170000000000001,-23.961
-1.5,-0.2,-0.9,-11.703,0.752,-23.97
